Element,Wavelength,Z number,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,6s,6p,Multiplicity,Term,Parity,J,E lower,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,6s,6p,6d,7s,7p,7d,8s,8p,8d,9s,10s,Multiplicity,Term,Parity,J,E upper,T,w (A),d (A),
Cl,462.394,17,2,2,6,2,4,0,1,0,0,0,0,0,0,0,0,2,P,1,0.5,74865.667,2,2,6,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,D,0,1.5,96486.198,9800,0.888888889,,
Cu,324.754,29,2,2,6,2,6,10,1,0,0,0,0,0,0,0,0,2,S,1,0.5,0,2,2,6,2,6,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P,0,1.5,30783.697,17000,0.143939394,,
F,739.865,9,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,4,P,1,2.5,102405.71,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,P,0,2.5,115917.91,23500,0.357894737,,
F,748.272,9,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,4,P,1,1.5,102680.44,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,P,0,1.5,116040.88,23500,0.384210526,,
F,742.565,9,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,4,P,1,1.5,102680.44,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,P,0,0.5,116143.58,23500,0.342105263,,
F,755.224,9,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,4,P,1,1.5,102680.44,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,P,0,2.5,115917.91,23500,0.389473684,,
F,690.248,9,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,4,P,1,1.5,102680.44,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,D,0,2.5,117164.01,23500,0.331578947,,
F,690.982,9,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,4,P,1,0.5,102840.38,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,D,0,1.5,117308.56,23500,0.368421053,,
F,683.426,9,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,4,P,1,1.5,102680.44,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,D,0,1.5,117308.56,23500,0.326315789,,
F,687.022,9,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,4,P,1,0.5,102840.38,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,D,0,0.5,117391.95,23500,0.289473684,,
F,679.553,9,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,4,P,1,1.5,102680.44,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,D,0,0.5,117391.95,23500,0.326315789,,
F,623.965,9,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,4,P,1,2.5,102405.71,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,S,0,1.5,118427.82,23500,0.315789474,,
F,634.851,9,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,4,P,1,1.5,102680.44,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,S,0,1.5,118427.82,23500,0.373684211,,
